fecha_hora,imagen,actividad,region,etiqueta_roi,diagnostico,metodo,parametros,n_px,media,desvio,mediana,sigma_mad,estimacion_ruido,metrica_antes,metrica_despues,resultados,observaciones
2026-09-20T23:41:07,Retina1,Medición,Imagen completa (sin marco),,,Estadísticas de la región,,290521,84.0009,25.7051,80.0000,22.2390,,,,varianza=660.7544; mad=15.0000,
2026-09-20T23:41:38,Retina1,Medición,ROI 1,fondo1,,Estadísticas de la región,,792,104.9053,4.9605,105.0000,5.9304,,,,varianza=24.6067; mad=4.0000,
2026-09-20T23:42:06,Retina1_gris,1 - Diagnóstico,Imagen completa,,,Diagnóstico,tamano=539x539; sin_marco=True; ventana=7; wavelet=db2; niveles=3,290521,84.0009,25.7051,80.0000,22.2390,,,,rango_p1_p99=130.0000; sigma_wavelet=0.5560; sigma_wavelet_sobre_rango=0.0043; sigma_diferencias_mad=1.0484; curtosis_diferencias=10.2018; fraccion_impulsos=0.0000; pico_fft_prominencia=1.6335; pico_fft_periodo_px=2.0336; relacion_altas_medias=0.2237; autocorr_lag1_x=0.9812; autocorr_lag1_y=0.9896; autocorr_ancho_medio_x=29; autocorr_ancho_medio_y=104; fondo_borde_centro=0.9105; variabilidad_local_media=4.8053,resultados\diagnostico_Retina1_gris_Imagencompleta.png
2026-09-20T23:42:37,Retina1,2 - Estimación de ruido,ROI 1,fondo1,,Coeficientes wavelet,sin_marco=True; wavelet=db2,,,,,,0.6883,,,sigma_sobre_rango=0.0053; fraccion_impulsos=0.0000; sigma_dif_locales_en_roi=2.0967; sigma_por_roi_homogenea=4.9605; sigma_por_multiples_rois=4.1724; sigma_por_mad=5.9304; sigma_por_diferencias_locales=2.0967,resultados\ruido_Retina1_coeficientes_wavelet.png
2026-09-20T23:44:14,Retina1,2 - Estimación de ruido,ROI 1,fondo1,,MAD,sin_marco=True,792,104.9053,4.9605,105.0000,5.9304,5.9304,,,sigma_sobre_rango=0.0456; mad=4.0000; fraccion_impulsos=0.0000; sigma_dif_locales_en_roi=2.0967; sigma_por_roi_homogenea=4.9605; sigma_por_multiples_rois=4.1724; sigma_por_diferencias_locales=2.0967; sigma_por_coeficientes_wavelet=0.7413,resultados\ruido_Retina1_mad.png
2026-09-20T23:46:16,Retina1,Pipeline,,,Sin degradación (referencia),Ninguno (imagen de referencia),,,,,,,"σ_wavelet≈0.5 y evaluando con MAD se ve un resultado mayor resultado de textura, no de ruido como vemos en coeficientes wavelet",,,,Ruido blanco despreciable. Se usa como referencia del set.
2026-09-21T00:51:12,Retina2,Medición,Imagen completa (sin marco),,,Estadísticas de la región,,290521,84.0009,25.7051,80.0000,22.2390,,,,varianza=660.7544; mad=15.0000,
2026-09-21T00:51:17,Retina2,Medición,ROI 1,fondo1,,Estadísticas de la región,,675,105.7319,4.6326,106.0000,4.4478,,,,varianza=21.4606; mad=3.0000,
2026-09-21T00:51:17,Retina2,Medición,ROI 2,fondo2,,Estadísticas de la región,,928,66.4709,2.4612,67.0000,2.9652,,,,varianza=6.0574; mad=2.0000,
2026-09-21T00:51:31,Retina2_gris,1 - Diagnóstico,Imagen completa,,,Diagnóstico,tamano=539x539; sin_marco=True; ventana=7; wavelet=db2; niveles=3,290521,84.0009,25.7051,80.0000,22.2390,,,,rango_p1_p99=130.0000; sigma_wavelet=0.5560; sigma_wavelet_sobre_rango=0.0043; sigma_diferencias_mad=1.0484; curtosis_diferencias=10.2018; fraccion_impulsos=0.0000; pico_fft_prominencia=1.6335; pico_fft_periodo_px=2.0336; relacion_altas_medias=0.2237; autocorr_lag1_x=0.9812; autocorr_lag1_y=0.9896; autocorr_ancho_medio_x=29; autocorr_ancho_medio_y=104; fondo_borde_centro=0.9105; variabilidad_local_media=4.8053,resultados\diagnostico_Retina2_gris_Imagencompleta.png
